,Title,Summary,Primary Category
106,symbol ground problem,semant interpret formal symbol intrins parasit mean head mean meaningless symbol token manipul sole basi arbitrari shape ground meaningless symbol problem analog learn chines chinesechines dictionari candid solut sketch symbol represent ground bottomup nonsymbol represent kind icon represent analog proxim sensori project distal object event categor represent learn innat pick invari featur object event categori sensori project elementari symbol name object event categori assign basi nonsymbol categor represent higherord symbol represent ground elementari symbol consist symbol string describ categori membership relat,Artificial Intelligence
107,iter deepen branch bound,tree search problem bestfirst search algorithm space remov drawback algorithm ida develop space time cost effici ida optim solut real valu problem flow shop schedul travel salesman knapsack real valu cost estim modif iter deepen branch bound search algorithm develop meet requir algorithm flow shop schedul problem effect,Artificial Intelligence
108,probabilist agent program,agent small program autonom action base environ year increas number effort build agent interact andor collabor agent effort eiter subrahmanian amd pick aij agent built legaci code framework assum agent complet determin uncertainti agent framework agent develop agent react agent truefals paper propos concept agent program arbitrari program written imper languag build declar probabilist agent program support decis make presenc uncertainti provid altern semant probabilist agent program semant epistem appeal complex comput provid sound complet algorithm comput semant emphposit agent program,Artificial Intelligence
109,cox theorem revisit,assumpt need prove cox theorem discuss examin set assumpt coxstyl theorem prove strong arguabl natur,Artificial Intelligence
110,uniform semant treatment default autoepistem logic,revisit issu connect lead formal nonmonoton reason autoepistem logic default logic logic develop comprehens semant framework base notion belief pair set belief pair call knowledg order form complet lattic logic introduc semant fixpoint oper lattic belief pair elucid underli isomorph respect semant construct interpret default modal formula propos konolig repres semant default logic term semant autoepistem logic conclus establish default logic view fragment autoepistem logic demonstr semant moor reiter oper occupi locat famili semant result explain sourc longstand difficulti formal relat semant paper discuss approxim skeptic reason autoepistem default logic establish construct principl approxim,Artificial Intelligence
111,accuraci run time gsat,random algorithm decid satisfi effect solv problem thousand variabl algorithm complet provid guarante satisfi assign exist studi random algorithm characterist consid run time importantli accuraci measur likelihood satisfi assign exist fact argu refer accuraci notion run time random algorithm welldefin paper introduc formal notion accuraci defin concept run time notion studi random walk strategi gsat algorithm investig depend accuraci properti input formula ratio number satisfi assign demonstr run time gsat grow exponenti number variabl input formula randomli gener cnf formula formula encod color graph,Artificial Intelligence
112,syntact autonomi autonomi symbol evolv,type agenc discuss base dynam coher incoher coupl environ propos privat syntax syntact autonomi discov dynam coher agent interest type closur autonomi syntact autonomi establish process select openend evolut enabl stage agent depend addit dynam local symbol memori ad level dynam incoher interact environ appear syntact autonomi enabl interest type closur agent share syntax investig studi emerg syntax dynam system experi cellular automata lead emerg comput solv nontrivi task discuss rna edit mention process primordi biolog code openend evolut,Artificial Intelligence
113,consist manag normal logic program topdown abduct proof procedur,paper present method comput revis functionfre normal logic program rule inconsist program lead situat stabl model exist program delet addit rule perform avoid inconsist revis translat normal logic program abduct logic program abduc repres delet addit rule comput delet addit propos adapt topdown abduct proof procedur comput relev abduc rule comput minim revis program choos minim set abduc set abduc comput topdown proof procedur,Artificial Intelligence
114,defeas reason oscar,descript oscar defeas reason,Artificial Intelligence
115,abduct diagnosi revisit model perspect,diagnost reason character logic reason abduct reason previou analys literatur hand choos gener restrict abduct definit depend content knowledg base consoletorasso hand depend choic definit knowledg express form pool modelbas diagnosi major problem find abstract behavior model paper discuss relat model abstract model notion diagnosi,Artificial Intelligence
116,aclp integr abduct constraint solv,aclp combin abduct reason constraint solv integr framework abduct logic program alp constraint logic program clp form gener highlevel knowledg represent environ abduct problem artifici intellig area aclp task abduct support enhanc nontrivi integr constraint solv facilit applic complex problem aclp implement clp languag eclips metainterpret exploit underli constraint solver finit domain appli problem plan schedul order test comput effect compar direct level constraint solv framework clp built experi provid evid abduct framework aclp compromis comput effici solut experi natur abil aclp accommod easili robust chang requir origin problem,Artificial Intelligence
117,relev sensit nonmonoton infer belief sequenc,method relev sensit nonmonoton infer belief sequenc incorpor insight pertain priorit infer relev sensit inconsist toler belief revis model finit logic open sequenc proposit formula represent belief defin notion infer maxiconsist subset formula guid order tempor sequenc order base relev relat conclus formula sequenc relev relat ternari context paramet oppos standard binari axiomat infer oper defin easili handl iter revis maintain revis histori block deriv inconsist answer inconsist sequenc maintain distinct explicit implicit belief finit present formal plausibl model reason autom agent,Artificial Intelligence
118,probabilist default reason condit constraint,propos combin probabilist reason condit constraint approach default reason condit knowledg base gener notion pearl entail lehmann lexicograph entail geffner condit entail condit constraint exampl notion lexicograph condit entail properti classic counterpart notion lexicograph condit entail proper gener classic counterpart classic notion logic entail condit constraint,Artificial Intelligence
119,compil order logic program,paper describ call plp compil order logic program standard logic program answer set semant order logic program rule name uniqu term prefer rule set dedic atom order logic program transform regular extend logic program prefer respect answer set transform theori correspond prefer answer set origin theori result translat extend logic program exist logic program system underli reason engin plp conceiv frontend logic program system dlv smodel,Artificial Intelligence
120,sldnfasystem,sldnfasystem project kuleuven investig logic proof procedur logic declar knowledg represent project induct definit logic idlog represent logic solver develop logic sldnfa prototyp investig solv effici problem repres idlog,Artificial Intelligence
121,logic program compil prefer,approach compil prefer logic program answer set semant order logic program extend logic program rule name uniqu term prefer rule set dedic atom order logic program transform regular extend logic program prefer respect answer set transform theori correspond prefer answer set origin theori approach specif static order previou work prefer extern logic program order set rule larg interest describ gener methodolog uniformli incorpor prefer logic program result translat extend logic program exist implement dlv smodel develop compil web frontend program system,Artificial Intelligence
122,fuzzi approach abduct infer,paper propos kind fuzzi abduct infer framework fuzzi rule base abduct infer process depend semant rule distinguish class interpret fuzzi rule certainti gener rule gener rule paper architectur abduct infer class interpret kind problem resolv propos model infer,Artificial Intelligence
123,problem solv idlog aggreg experi,goal project kuleuven design express logic suitabl declar knowledg represent develop intellig system base logic program technolog solv comput problem declar specif idlog integr type classic logic definit logic abduct solver languag develop paper report integr high order aggreg idlog consequ solver sldnfa,Artificial Intelligence
124,optim belief revis,propos approach belief revis chang knowledg base minimum effort revis belief optim belief revis revis method special attent fact belief revis process direct specif inform object approach belief chang found notion optim context access sententi model belief provid formal descript context subtheori determin paramet method construct context introduc access order belief set select optim context respect process effort involv revis finit axiomatiz knowledg base character finit access rank access order entir base gener determin rank arbitrari sentenc languag final defin adjust access rank revis base belief set,Artificial Intelligence
125,ccgolog realist logicbas robot control,highlevel robot control realist domain typic deal process oper concurr chang continu execut action eventdriven charg batteri voltag level nonlogicbas robot control languag suit express scenario fare project conspicu evolv action execut hand logicbas control languag congolog base situat calculu wellsuit problem express eventdriven behavior paper problem overcom extend situat calculu support continu chang eventdriven behavior present ccgolog variant congolog base extend situat calculu benefit ccgolog narrow gap express compar nonlogicbas control languag preserv semant wellfound project mechan,Artificial Intelligence
126,smodel answer set program,smodel implement stabl model semant normal logic program handl subclass program function symbol support extens includ builtin function cardin weight constraint core engin involv system built implement total partial stabl model comput disjunct logic program interest applic method base answer set program encod applic problem set rule solut captur stabl model rule smodel appli number area includ plan model check reachabl analysi product configur dynam constraint satisfact featur interact,Artificial Intelligence
127,ere reason action event observ,ere implement languag logic reason narr action occurr observ semant modeltheoret implement base sound complet reformul term argument gener comput techniqu argument framework deriv sceptic nonmonoton consequ reformul theori correspond consequ entail modeltheori comput reli complimentari abil deriv credul nonmonoton consequ set support assumpt suffici credul conclus hold ere theori gener action law statement action occurr observ statement ramif univers law deriv consequ time paper short overview theoret basi ere illustr varieti exampl ere extend plan,Artificial Intelligence
128,quip tool comput nonmonoton reason task,paper outlin prototyp autom infer tool call quip uniform implement nonmonoton reason formal theoret basi quip deriv wellknown comput complex nonmonoton logic exploit represent reason task term quantifi boolean formula,Artificial Intelligence
129,split set theorem epistem specif,decad consider expand logic program languag handl incomplet languag languag epistem specif usual logic program languag problem answer queri intract gener case extend disjunct logic program idea proven simplifi investig answer set split set paper extend definit split set applic epistem specif extens split set theorem present stratifi epistem specif term split set lead algorithm method comput view subclass epistem logic program,Artificial Intelligence
130,de challeng problem nonmonoton reason system,data encrypt standard de short interest benchmark problem nonmonoton reason system set test case industri relev share featur randomli gener problem realworld problem represent de normal logic program stabl model semant simpl easi understand iii subclass logic program interest special case formal nonmonoton reason paper encod de logic program direct standard specif optim extend work massacci marraro comput properti encod studi de key search smodel implement stabl model semant encod smodel competit outperform stateoftheart satcheck work optim encod de sat compar satcheck custom tune optim sat encod,Artificial Intelligence
131,fage theorem answer set program,gener theorem francoi fage describ relationship complet semant answer set semant logic program negat failur studi relationship connect emerg answer set program semant equival answer set comput satisfi solver answer set solver smodel dlv unnecessari logic program represent block ilkka niemela discuss,Artificial Intelligence
132,tractabl count theori model applic belief revis truth mainten,introduc decompos negat normal form dnnf tractabl form proposit theori number power logic oper perform polynomi time present algorithm compil conjunct normal form cnf dnnf structurebas guarante space time complex paper lineartim algorithm convert order binari decis diagram obdd represent proposit theori equival dnnf show dnnf scale obdd identifi subclass dnnf determinist dnnf ddnnf previou complex guarante compil dnnf continu hold stricter subclass stronger properti oper ddnnf count model assert retract flip liter travers ddnnf travers test constanttim entail liter ddnnf consist ddnnf retract flip liter demonstr signific oper show implement lineartim complet truth mainten system lineartim complet belief revis system class proposit theori,Artificial Intelligence
133,bddbase reason fluent calculu,paper report preliminari insight gain project aim implement fluent calculu method techniqu base binari decis diagram report initi experi show promis discuss find techniqu heurist speed reason process,Artificial Intelligence
134,plan incomplet,plan natur domain applic framework reason action chang paper studi framework languag form basi plan incomplet defin type plan weak safe plan propos planner call eplann extend initi weak plan safe plan explicit incomplet case initi complet eplann base reformul languag argument term natur proof theori reformul extens proof theori abduct gener plan adopt techniqu extend weak plan safe plan provid repres exampl illustr behaviour eplann case statu fluent incomplet,Artificial Intelligence
135,local diagnosi,earlier work present oper belief chang affect relev belief base paper propos applic strategi problem modelbas diangosi isol subset descript relev observ solv diagnosi problem subset,Artificial Intelligence
136,model belief chang preliminari report,gener framework belief chang inform revis incorpor consist formal knowledg base sentenc express renam proposit separ languag maxim process assum languag consist lastli express result knowledg base singl languag extend choic revis extens repres revis altern revis consist intersect extens gener formul approach flexibl express approach revis updat merg knowledg base incorpor static dynam integr constraint framework differ work base ordin condit function notabl respect iter revis argu approach wellsuit implement choic revis oper complex gener revis approach express term finit knowledg base scope revis restrict proposit mention sentenc revis,Artificial Intelligence
137,saten objectori webbas revis extract engin,saten objectori webbas extract belief revis engin run java enabl browser netscap saten perform belief revis base agm approach extract belief revis reason engin oper user rank featur saten integr mutual inconsist commensu rank consist rank,Artificial Intelligence
138,dc implement datalog constraint,answerset program asp emerg viabl program paradigm asp datalog constraint base nonmonoton logic inform theori consist proposit claus constraint horn rule semant simpl natur extens semant proposit logic presenc horn rule model transit closur straightforward syntax implement provid experiment,Artificial Intelligence
139,datalog constraint answerset program,answerset program asp emerg viabl program paradigm attun search problem constraint satisfact combinator proposit logic arguabl simplest asp intuit semant support direct model problem constraint applic requir transit closur comput requir addit variabl larg theori practic comput tool problem hand asp system base nonmonoton logic stabl logic program handl transit closur comput effici gener yield concis theori problem represent semant complex search middl ground paper introduc nonmonoton logic datalog constraint inform theori consist proposit claus constraint horn rule semant simpl natur extens semant proposit logic presenc horn rule model transit closur straightforward syntax semant studi properti discuss implement experiment studi effect compar csat satisfi checker smodel implement stabl logic program competit approach case search problem yield effici solut,Artificial Intelligence
140,remark boolean constraint propag,studi wellknown propag rule boolean constraint propos simpl notion complet set rule establish complet result equival sens boolean constraint propag unit propag form resolut proposit logic subsequ character set rule notion hyperarc consist introduc mohr masini clarifi statu set rule introduc simoni fulli codognet diaz,Artificial Intelligence
141,condit plausibl measur bayesian network,gener notion algebra condit plausibl measur defin probabl measur rank function possibl measur definit set probabl measur view defin algebra condit plausibl measur algebra condit plausibl measur repres bayesian network,Artificial Intelligence
142,constraint compil rule formal constraint compil rule formal dynam csp comput,paper rule base formal filter variabl domain constraint formal adapt solv dynam csp diagnosi instanc problem illustr rule diagnosi problem find minim set constraint relax constraint network model devic diagnos,Artificial Intelligence
143,brainstormj java framework intellig agent,effort research area multiag system ma design program agent year commun began account common featur ma exist base common featur tool tackl problem agent develop specif applic domain specif type agent consequ scope restrict subset huge applic domain ma paper propos gener infrastructur program agent brainstormj infrastructur implement object orient framework consequ approach support broader scope ma applic previou effort flexibl reusabl,Artificial Intelligence
144,relationship fuzzi logic fourvalu relev logic,fuzzi proposit logic proposit partial truth assign circumst fuzzi logic collaps classic logic paper dual condit fuzzi logic collaps fourvalu relev logic proposit truthvalu true fals unknown contradict consequ fuzzi entail consid fourvalu relev entail classic entail,Artificial Intelligence
145,explan structuralmodel approach,propos definit actual structur equat model counterfactu definit yield plausibl eleg account causat handl exampl caus problem definit resolv major difficulti tradit account,Artificial Intelligence
146,logic program approach repres solv constraint satisfact problem comparison,logic program base approach solv combinatori search problem hand constraint logic program comput solut answer substitut queri variabl constraint satisfact problem hand system base stabl model semant abduct system order logic model gener comput solut model theori paper compar approach point view knowledg represent declar program point view perform good solv typic problem,Artificial Intelligence
147,multichannel parallel adapt theori rule discoveri,paper introduc machin learn theori base multichannel parallel adapt rule discoveri theori distinguish familiar adapt theori neural network term channelbas converg target rule realiz theori learn name cfrule cfrule parallel weightbas model depart tradit neural comput intern knowledg comprehens model converg train channel converg target rule model adapt rule deriv multilevel parallel weight optim base gradient descent gradient descent guarante local optim multichannel regressionbas optim strategi develop effect deal problem formal prove cfrule model explicitli precis encod rule set prove properti asynchron parallel converg critic element multichannel parallel adapt theori rule learn quantiz natur cfrule model rule extract complet soundli thresholdbas mechan final practic applic theori demonstr dna promot recognit hepat prognosi predict,Artificial Intelligence
148,contract assembl,approach model structur coars content legal document view provid autom support draft contract contract databas retriev approach design applic contract draft base modelform contract exist exampl type main featur approach represent address structur constitu part contract text document represent document separ mechan manipul draft process subject collect explicitli state constraint govern structur document represent document instanc gener document data structur drive creation document instanc extract sampl session illustr featur prototyp implement macprolog,Artificial Intelligence
149,model contractu argument,influenti approach assess good argument offer school eemeren grootendorst compar rhetor structur theori rst mann thompson approach origin discours analysi term argument good avoid commit fallaci rst term argument good coher rst criticis snoeck henkeman provid partial function account argument critic rais natur languag gener nlg moor pollack account intention text gener mann thompson note rst appli wide rang text divers domain fail characteris type text notabl legal contract ongo artifici intellig law commun explor potenti provid electron support contract negoti focus longterm complex engin agreement daskalopulu sergot paper introduct rst illustr shortcom respect contractu text altern approach model argument structur present cater contractu text overcom aforement limit rst,Artificial Intelligence
150,integr comput logic,integr young excit field enorm commerci signific societi stand crossroad databas artifici intellig requir techniqu bring method field dispar heterogen sourc apriori common schema synthes flexibl transpar intellig order respond demand queri enabl inform decis user applic program field young practic applic integr wide web paper introduct field highlight main current futur issu applic area attempt evalu current potenti role comput logic suggest problem logicbas techniqu,Artificial Intelligence
151,enhanc constraint propag composit oper,constraint propag gener algorithm approach prune search space csp uniform apt defin comput iter reduct function domain demonstr integr static properti reduct function commut design special algorithm dac introduc set oper model composit reduct function major goal tackl parallel comput dynam behaviour slow converg,Artificial Intelligence
152,properti updat sequenc base causal reject,approach updat nonmonoton knowledg base repres extend logic program answer set semant incorpor current knowledg base subject causal reject principl enforc case conflict rule prefer older rule overridden reject principl exploit approach updat logic program dynam logic program alfer analysi properti approach understand causal reject principl review postul updat revis oper area theori chang nonmonoton reason properti consid refin semant incorpor notion minim chang investig relationship approach show approach semant equival inherit program buccafurri coincid class dynam logic program provid term graph condit properti causal reject principl appli approach final deal comput complex approach outlin updat semant refin implement exist logic program engin,Artificial Intelligence
153,gradientbas reinforc plan policysearch method,introduc learn method call gradientbas reinforc plan grep tradit method improv polici time grep gradientbas method plan improv polici act environ deriv formula exact polici gradient maxim expect futur reward confirm idea numer experi,Artificial Intelligence
154,ration competit analysi,work scienc competit analysi tool decis make uncertainti work extend competit analysi context multiag system classic competit analysi behavior agent environ arbitrari case agent environ consist agent agent obey minim ration constraint lead definit ration competit analysi introduc concept ration competit analysi initi studi competit analysi multiag system discuss applic ration competit analysi context bid game classic oneway trade problem,Artificial Intelligence
155,theori experi,articl aim clarifi languag practic scientif experi hook observ calcul,Artificial Intelligence
156,nonmonoton reason preferenti model cumul logic,system exhibit nonmonoton behavior studi literatur gener notion nonmonoton reason neg properti enjoy monoton studi gener pattern nonmonoton reason isol properti map field nonmonoton reason refer posit properti concentr number famili nonmonoton consequ relat defin style gentzen prooftheoret semant point view develop parallel point view pioneer gabbay advoc shoham famili defin character represent theorem relat point view famili preferenti relat turn studi adam preferenti model propos stronger tool adam probabilist semant basic languag paper proposit logic extens order predic calculi studi comput complex decis problem paper treat paper,Artificial Intelligence
157,condit knowledg base entail,paper present logic approach nonmonoton reason base notion nonmonoton consequ relat condit knowledg base consist set condit assert type repres explicit defeas knowledg agent gener behav plausibl definit set condit assert entail condit knowledg base previou paper krau author defin studi preferenti consequ relat notic preferenti relat consid reason infer procedur paper studi restrict class consequ relat ration relat argu reason nonmonoton infer procedur defin ration relat ration relat repres rank preferenti model nonstandard probabilist model ration closur condit knowledg base defin provid attract answer question titl global properti closur oper prove cumul oper comput tractabl paper assum underli languag proposit,Artificial Intelligence
158,note darwich pearl,darwich pearl postul impli interest properti notic author,Artificial Intelligence
159,distanc semant belief revis,vast interest famili natur semant belief revis defin suppos distanc model defin revis theori formula theori defin set model closest set model famili character set ration postul extend agm postul postul properti iter revis,Artificial Intelligence
160,prefer histori semant iter updat,semant iter updat prefer relat develop iter updat sequenc formula incomplet success develop sequenc model describ trajectori time assum principl inertia prefer develop compat avoid unnecessari logic properti updat defin consid represent result prove,Artificial Intelligence
161,nonmonoton infer oper,tarski propos studi infinitari consequ oper central topic mathemat logic consid monoton properti oper paper weaken monoton requir gener oper infer oper oper nonmonoton logic human machin infer defeas incomplet knowledg singl number interest famili infer oper studi infinitari infer oper inspir krau lehmann magidor finitari nonmonoton oper paper selfcontain,Artificial Intelligence
162,logic mean expans,expans properti consid research social choic correspond logic properti nonmonoton consequ relat pure involv connect version weak ration condit assumpt union defin set model defin need sound result,Artificial Intelligence
163,perspect default reason,lexicograph closur finit set normal default defin condit assert lexicograph closur default fact conclud lexicograph closur essenti ration extens ration closur defin previou paper logic normal default propos reiter rich requir consider nonnorm default larg number exampl lexicograph closur correspond basic intuit reiter logic default,Artificial Intelligence
164,deduct nonmonoton infer oper antiton represent,provid nonmonoton infer oper set logic consequ set addit assumpt depend subset impli subset oper repres character term properti studi rightabsorb cumul oper cumul oper fit close freund discuss extend finitari oper infinitari oper canon discuss cocompact properti provid satisfactori notion gener deduct nonmonoton oper notion compact monoton oper provid altern eleg gener proof exist infinitari deduct extens finitari deduct oper theorem freundlehmann,Artificial Intelligence
165,stereotyp reason logic properti,stereotyp reason assum situat hand kind enjoy properti gener kind situat basic form nonmonoton reason formal model stereotyp reason propos logic properti form reason studi stereotyp reason cumul weak assumpt,Artificial Intelligence
166,framework compil prefer logic program,introduc methodolog framework express gener prefer logic program answer set semant order logic program extend logic program rule name uniqu term prefer rule set atom form name order logic program transform regular extend logic program prefer respect answer set transform program correspond prefer answer set origin program approach specif dynam order prefer arbitrarili program static order prefer extern logic program trivial restrict gener dynam case develop specif approach reason prefer prefer order specifi order rule appli demonstr wide rang applic framework show approach brewka eiter captur framework result transform extend logic program exist implement dlv smodel develop publicli compil frontend program system,Artificial Intelligence
167,proirit logic program,priorit default reason illustr rich express flexibl knowledg represent reason aspect priorit default reason explor paper investig properti priorit logic program context answer set semant reveal close relationship mutual defeas uniqu answer set priorit logic program explor split techniqu extend logic program extend priorit logic program prove split theorem simplifi evalu priorit logic program condit,Artificial Intelligence
168,belief revis ration infer,extend agm postul belief revis deal revis theori arbitrari formula constrain revis theori formula postul propos compar postul propos literatur agm revis satisfi postul stand onetoon correspond ration relat correspond explicitli viewpoint iter revis distinguish discuss,Artificial Intelligence
169,ultim approxim nonmonoton knowledg represent system,studi fixpoint oper lattic introduc notion approxim oper order approxim precis order lattic oper uniqu precis ultim approxim demonstr fixpoint ultim approxim provid insight fixpoint oper appli theori logic program introduc ultim kripkekleen wellfound stabl semant ultim kripkekleen wellfound semant precis standard counterpart argu ultim semant logic program attract epistemolog properti gener comput complex standard semant class theori complex wors,Artificial Intelligence
170,handl defeas action domain,repres defeas issu common sens reason reason action chang issu difficult domain action defeas conflict gener inertia rule type defeas interfer reason paper develop priorit logic program approach handl defeas reason action propos action languag cal cal cal handl type defeas action domain name defeas constraint defeas observ action defeas abnorm effect languag higher superscript view extens languag superscript action languag inherit simpl syntax cal languag semant develop term transit system transit function defin base priorit logic program illustr exampl approach eventu power mechan handl defeas tempor predict postdict investig semant properti action languag character class action domain desir solut reason action underli action languag,Artificial Intelligence
171,anticipatori guidanc plot,anticipatori guid plot develop interact narr execut model finit automaton implement lookahead identif undesir futur model guid player transpar manner radic twist plot avoid player particip develop plot guidanc form depend environ player behavior player player interact design method interact narr produc design suitabl implement anticipatori mechan method illustr applic interact game kaktu,Artificial Intelligence
172,abduct asp open logic program,open logic program open entail propos abstract framework verif incomplet specif base normal logic program stabl model semant obviou analog open predic abduc predic superfici similar featur open program counterpart framework abduct viceversa open program simul answer set program asp paper start investig relationship open infer abduct asp prove open program gener framework gener framework suggest interest extens abduct gener stabl model semant case reduc open infer abduct asp estim comput complex time aforement reduct open applic abduct asp,Artificial Intelligence
173,domaindepend knowledg answer set plan,paper kind domaindepend control knowledg tempor procedur htnbase plan approach declar reli languag logic program answer set semant ansprolog ansprolog design plan control knowledg tempor procedur htnbase control knowledg incorpor ansprolog modular addit small number domaindepend rule modifi planner formal prove correct planner absenc presenc control knowledg final perform initi experiment demonstr potenti reduct plan time achiev procedur domain knowledg solv plan problem larg plan length,Artificial Intelligence
174,minim defenc refin prefer semant argument framework,dung abstract framework argument enabl studi interact argument base sole attack binari relat set argument way solv conflict contradictori piec propos context argument nonmonoton reason logic program captur semant dung framework common featur semant maxim sens set accept argument propos paper extend dung framework order represent restrict argument argument absolut order support argument defeat modifi dung prefer semant set argument accept minimum restrict argument maximum unrestrict argument,Artificial Intelligence
175,represent iter nonpriorit chang,address gener represent problem belief chang interrel represent iter nonpriorit chang logic represent term persist epistem construct represent term flock base,Artificial Intelligence
176,collect argument,extens abstract argument framework call collect argument introduc attack relat defin set argument extens turn suitabl repres semant disjunct logic program special kind collect argument consid oppon share argument,Artificial Intelligence
177,logic program order disjunct,logic program order disjunct lpod combin idea underli qualit choic logic brewka answer set program logic program answer set semant extend connect call order disjunct connect repres altern rank option problem solut head rule time intuit semant logic program order disjunct base prefer relat answer set lpod applic design configur serv basi qualit decis make,Artificial Intelligence
178,compil proposit weight base,paper investig extent knowledg compil improv infer proposit weight base gener notion compil weight base parametr compil function neg posit present hand complex identifi show infer problem compil weight base difficult gener case prime implic horn cover renam horn cover class target hand infer problem tractabl clausal queri consid set prefer model dnnfcompil weight base comput time polynomi output size final sketch modelbas diagnosi order comput probabl diagnos,Artificial Intelligence
179,model complex domain action chang,paper studi problem model complex domain action chang highlevel action descript languag investig main issu concern repres complex domain captur problem ramif nondetermin concurr action highlevel close natur ontolog problem domain featur represent affect comput behaviour paper describ main problem face represent task present empir studi carri seri control experi analyz comput perform reason represent experi compar represent chang basic ontolog domain vari degre indirect law domain constraint studi help expos main sourc comput difficulti reason methodolog guidelin repres complex domain work carri highlevel descript languag relat problem represent independ specif model languag,Artificial Intelligence
180,base argument framework,paper introduc notion valuebas argument framework extens standard argument framework propos dung toshow ration decis case argument deriv forc social valu accept promot,Artificial Intelligence
181,prefer wellfound semant logic program altern fixpoint preliminari report,analyz problem defin wellfound semant order logic program gener framework base altern fixpoint theori start show gener exist answer set approach prefer weak set wellfound semant inform intuit criteria propos semant framework prefer handl suitabl defin wellfound semant order logic program suitabl approach convinc fact attract properti satisfi semant semant correct respect exist answer set semant overcom weak gener wellfound semant final exist prefer wellfound semant captur semant framework,Artificial Intelligence
182,embed default logic proposit argument system,paper transform finit proposit default theori socal proposit argument system transform character notion reiter default logic framework argument system consequ comput extens determin wether formula belong extens extens answer leav field classic proposit logic transform propos linear number default,Artificial Intelligence
183,exist multipl extens dialect argument,paper exist multipl problem extens address focu extens stabl type main result paper eleg exist multipl extens term notion dialect justif close cousin notion admiss context logic dialect argument deflog direct relev wellestablish model defeas reason default logic logic program argument framework dialect argument close formal connect model,Artificial Intelligence
184,nonmonoton probabilist logic modeltheoret probabilist logic probabilist logic coher,probabilist entail coher weaker modeltheoret probabilist entail probabilist entail coher gener default entail paper continu present probabilist gener sophist notion classic default entail lie modeltheoret probabilist entail probabilist entail coher formal properli gener counterpart classic default reason weaker modeltheoret probabilist entail stronger probabilist entail coher formal handl probabilist inconsist condit event appli probabilist belief revis gener spirit previou paper paper shed light excit formal probabilist reason wellknown standard,Artificial Intelligence
185,evalu default,seek norm criteria adequaci nonmonoton logic criterion valid deduct logic stipul conclus infer true model premis true requir conclus nonmonoton infer true model sort premis true sort specif pick model relev infer account factor specif vagu previou infer frequenc character relev model reflect frequenc actual criteria adequaci default infer extend threshold criteria adequaci extens avoid result chain default infer model proport constru term frequenc provid verifi ground default rule basi gener default rule statist,Artificial Intelligence
186,link makinson preferenti entail,year notion preferenti entail introduc main refer paper krau lehmann magidor klm main competitor gener version defin makinson mak version compar time revisit comparison main notion equival restrict attent klm case entail respect logic equival left simplif descript fundament case mak equival klm includ natur passag way previou preferenti entail gener consid origin text appli origin definit case model simplifi,Artificial Intelligence
187,knowledg represent,work analys main featur knowledg represent suggest model represent implement model softwar represent take care lowlevel sensor highlevel concept,Artificial Intelligence
188,explan structuralmodel approach explan,propos definit causal explan structur equat model counterfactu definit base notion actual defin motiv companion paper essenti explan fact true constitut actual fact explain agent initi uncertainti definit handl number problemat exampl literatur,Artificial Intelligence
189,reason evolv nonmonoton knowledg base,approach updat knowledg base model extend logic program introduc rang basic method incorpor sequenc set rule logic program elabor method updat polici updat incorpor paper introduc framework reason evolv knowledg base repres extend logic program maintain updat polici formal model captur updat approach defin logic languag express properti evolv knowledg base investig semant comput properti framework focu properti knowledg respect canon reason task formula hold evolv knowledg base finitari evolut class framework instanc exploit obtain decid character complex reason meaning class evolv knowledg base rang polynomi doubl exponenti space complex,Artificial Intelligence
190,comparison cognit paradigm simpl animat virtual laboratori implic notion cognit,thesi virtual laboratori implement model control animat rulebas behaviourbas conceptbas neural network braitenberg architectur experi compar perform model conclud model model context model chose simpl repres approach studi cognit empir philosoph aid note approach studi cognit approach advantag disadvantag studi aspect cognit context implic current debat proper approach cognit approach bit proper proper draw remark notion cognit abstract approach studi propos simpl classif type cognit,Artificial Intelligence
191,revis partial order belief,paper deal revis partial order belief propos semant represent epistem partial preorder interpret syntact represent partial order belief base revis oper revis stem histori observ possibilist revis defin epistem repres total preorder gener semant level case partial preorder interpret syntact level case partial order belief base equival represent revis oper,Artificial Intelligence
192,brain simpler part,seri connect paper discuss problem dynam reconfigur univers learn neurocomput serv comput model human brain seri entitl brain project brain dynam reconfigur univers learn neurocomput visit websit wwwbraincom introductori paper concern gener methodolog main goal explain critic neural model cognit model pay attent basic requir brain complex comput author argu easier develop adequ comput model unprogram untrain human brain adequ formal represent nontrivi part brain perform easier behavior complex analyt function behavior real andor imaginari curs dimension plagu pure brainless cognit theori natur penalti attempt repres insuffici larg part brain perform space insuffici high dimension partial model encount catch attempt simplifi cognit problem artifici reduc dimension problem difficult,Artificial Intelligence
193,adapt develop koncept virtual animat insight develop knowledg,effort studi evolut develop cognit deriv synthet virtual laboratori animat develop koncept adapt ground mean action introduc term koncept avoid confus ambigu deriv wide word concept model animat abstract koncept percept plastic adapt koncept associ koncept action philosoph vein knowledg properti cognit element,Artificial Intelligence
194,dynam adjust motiv degre action select mechan,paper present model dynam adjust motiv degre reinforc learn approach action select mechan develop author learn take place modif paramet model combin intern extern stimuli experi claim properti present simul develop purpos adapt learn action select discuss,Artificial Intelligence
195,action select properti softwar simul agent,articl analys properti intern behaviour network action select mechan propos author aid simul develop end review intern behaviour network explan implement simul experi present discuss analys properti action select propos model,Artificial Intelligence
